carga,instante
13968.2793,2026-02-10T04:30:00-03:00
13986.1367,2026-02-10T04:31:00-03:00
13974.3154,2026-02-10T04:32:00-03:00
13983.7275,2026-02-10T04:33:00-03:00
13969.2373,2026-02-10T04:34:00-03:00
13984.502,2026-02-10T04:35:00-03:00
13991.86,2026-02-10T04:36:00-03:00
14002.8574,2026-02-10T04:37:00-03:00
13994.4658,2026-02-10T04:38:00-03:00
13986.3789,2026-02-10T04:39:00-03:00
13992.9033,2026-02-10T04:40:00-03:00
14045.8193,2026-02-10T04:41:00-03:00
14036.6982,2026-02-10T04:42:00-03:00
13993.4141,2026-02-10T04:43:00-03:00
13974.498,2026-02-10T04:44:00-03:00
13969.4043,2026-02-10T04:45:00-03:00
13972.668,2026-02-10T04:46:00-03:00
13961.2871,2026-02-10T04:47:00-03:00
13952.2412,2026-02-10T04:48:00-03:00
13935.9473,2026-02-10T04:49:00-03:00
13950.9072,2026-02-10T04:50:00-03:00
13955.96,2026-02-10T04:51:00-03:00
13949.5342,2026-02-10T04:52:00-03:00
13943.6846,2026-02-10T04:53:00-03:00
13943.8848,2026-02-10T04:54:00-03:00
13955.0146,2026-02-10T04:55:00-03:00
13953.8955,2026-02-10T04:56:00-03:00
13957.92,2026-02-10T04:57:00-03:00
13958.2471,2026-02-10T04:58:00-03:00
13968.292,2026-02-10T04:59:00-03:00
13943.0566,2026-02-10T05:00:00-03:00
13989.3174,2026-02-10T05:01:00-03:00
14031.248,2026-02-10T05:02:00-03:00
14047.5986,2026-02-10T05:03:00-03:00
14066.4043,2026-02-10T05:04:00-03:00
14112.1211,2026-02-10T05:05:00-03:00
14145.0527,2026-02-10T05:06:00-03:00
14155.5137,2026-02-10T05:07:00-03:00
14176.79,2026-02-10T05:08:00-03:00
14215.4482,2026-02-10T05:09:00-03:00
14211.4121,2026-02-10T05:10:00-03:00
14222.0166,2026-02-10T05:11:00-03:00
14278.5605,2026-02-10T05:12:00-03:00
14307.1436,2026-02-10T05:13:00-03:00
14346.374,2026-02-10T05:14:00-03:00
14312.4131,2026-02-10T05:15:00-03:00
14288.1816,2026-02-10T05:16:00-03:00
14345.1006,2026-02-10T05:17:00-03:00
14288.22,2026-02-10T05:18:00-03:00
14264.7646,2026-02-10T05:19:00-03:00
14277.8438,2026-02-10T05:20:00-03:00
14286.1279,2026-02-10T05:21:00-03:00
14287.1,2026-02-10T05:22:00-03:00
14301.1338,2026-02-10T05:23:00-03:00
14297.7,2026-02-10T05:24:00-03:00
14290.376,2026-02-10T05:25:00-03:00
14289.5762,2026-02-10T05:26:00-03:00
14306.06,2026-02-10T05:27:00-03:00
14307.835,2026-02-10T05:28:00-03:00
14321.5254,2026-02-10T05:29:00-03:00
14339.917,2026-02-10T05:30:00-03:00
