nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;209.507;21.0093;209.507;21.0093;196.998;997.2102
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;22.843;71.0116;22.843;71.0116;21.09;32.168
ESTREITO;267;Fio dagua;TOCANTINS;NORTE;N;NORTE;2026-01-03;542.139;38.4926;542.139;38.4926;518.335;1408.425
FERREIRA GOMES;284;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-03;67.855;80.1183;67.855;80.1183;72.131;84.6935
FONTES;132;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-03;25.042;20.6;25.042;20.6;24.996;121.563
FOZ CHAPECO;103;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-03;1605.321;415.2249;1348.479;348.7914;1561.066;386.6148
FOZ DO RIO CLARO;315;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;31.003;41.7577;31.003;41.7577;30.938;74.245
FUNDÃO;72;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-03;64.662;78.6266;45.556;55.3944;65.384;82.2393
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-03;63.41;30.4117;63.41;30.4117;55.849;208.505
FUNIL-MG;4;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-03;69.525;34.3685;69.525;34.3685;71.591;202.293
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-03;536.108;38.54;536.108;38.54;512.181;1391.043
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-03;555.114;81.9886;555.114;81.9886;549.958;677.0622
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;2026-01-03;87.307;54.9602;87.307;54.9602;87.208;158.855
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-03;248.773;304.9769;248.773;304.9769;249.243;81.5711
GOV JAYME CANET JR;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;2026-01-03;149.949;46.8493;113.22;35.3738;150.754;320.067
GUAPORE;196;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-03;59.907;107.6937;59.907;107.6937;59.797;55.6272
GUILM. AMORIM;192;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-03;64.241;43.1215;64.241;43.1215;63.775;148.9768
HENRY BORDEN;119;Fio dagua;TIETE;SUDESTE;SE;SUDESTE;2026-01-03;250.58;65.8358;250.58;65.8358;250.501;380.6136
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;2026-01-03;1038.269;30.963;1038.269;30.963;1059.664;3353.2623
