DIA,HORA,MES_REFERENCIA,PERIODO_COMERCIALIZACAO,PLD_HORA,SUBMERCADO,_dataset,_id,_resource_id
9,5,202602,198,445.4,SUDESTE,pld_horario,119,3f279d6b-1069-42f7-9b0a-217b084729c4
9,5,202602,198,445.4,SUL,pld_horario,120,3f279d6b-1069-42f7-9b0a-217b084729c4
9,6,202602,199,446.51,NORDESTE,pld_horario,121,3f279d6b-1069-42f7-9b0a-217b084729c4
9,6,202602,199,446.5,NORTE,pld_horario,122,3f279d6b-1069-42f7-9b0a-217b084729c4
9,6,202602,199,446.51,SUDESTE,pld_horario,123,3f279d6b-1069-42f7-9b0a-217b084729c4
9,6,202602,199,446.51,SUL,pld_horario,124,3f279d6b-1069-42f7-9b0a-217b084729c4
9,7,202602,200,440.38,NORDESTE,pld_horario,125,3f279d6b-1069-42f7-9b0a-217b084729c4
9,7,202602,200,440.38,NORTE,pld_horario,126,3f279d6b-1069-42f7-9b0a-217b084729c4
9,7,202602,200,440.38,SUDESTE,pld_horario,127,3f279d6b-1069-42f7-9b0a-217b084729c4
9,7,202602,200,440.39,SUL,pld_horario,128,3f279d6b-1069-42f7-9b0a-217b084729c4
9,8,202602,201,437.81,NORDESTE,pld_horario,129,3f279d6b-1069-42f7-9b0a-217b084729c4
9,8,202602,201,437.81,NORTE,pld_horario,130,3f279d6b-1069-42f7-9b0a-217b084729c4
9,8,202602,201,437.81,SUDESTE,pld_horario,131,3f279d6b-1069-42f7-9b0a-217b084729c4
9,8,202602,201,437.82,SUL,pld_horario,132,3f279d6b-1069-42f7-9b0a-217b084729c4
9,9,202602,202,435.76,NORDESTE,pld_horario,133,3f279d6b-1069-42f7-9b0a-217b084729c4
9,9,202602,202,435.77,NORTE,pld_horario,134,3f279d6b-1069-42f7-9b0a-217b084729c4
9,9,202602,202,435.77,SUDESTE,pld_horario,135,3f279d6b-1069-42f7-9b0a-217b084729c4
9,9,202602,202,435.78,SUL,pld_horario,136,3f279d6b-1069-42f7-9b0a-217b084729c4
9,10,202602,203,436.09,NORDESTE,pld_horario,137,3f279d6b-1069-42f7-9b0a-217b084729c4
9,10,202602,203,436.1,NORTE,pld_horario,138,3f279d6b-1069-42f7-9b0a-217b084729c4
