id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2026-01-01;51691.226;23746.684;45.9395
N;NORTE;2026-01-01;15302.396;8377.915;54.749
SE;SUDESTE;2026-01-01;204615.328;86248.982;42.1518
S;SUL;2026-01-01;20459.242;14727.355;71.9839
NE;NORDESTE;2026-01-02;51691.226;23787.557;46.0186
N;NORTE;2026-01-02;15302.396;8377.862;54.7487
SE;SUDESTE;2026-01-02;204615.328;86314.413;42.1837
S;SUL;2026-01-02;20459.242;14787.007;72.2754
NE;NORDESTE;2026-01-03;51691.226;23832.24;46.105
N;NORTE;2026-01-03;15302.396;8393.611;54.8516
SE;SUDESTE;2026-01-03;204615.328;86337.887;42.1952
S;SUL;2026-01-03;20459.242;14800.683;72.3423
NE;NORDESTE;2026-01-04;51691.226;23894.903;46.2262
N;NORTE;2026-01-04;15302.396;8414.213;54.9862
SE;SUDESTE;2026-01-04;204615.328;86781.445;42.412
S;SUL;2026-01-04;20459.242;14783.314;72.2574
NE;NORDESTE;2026-01-05;51691.226;23997.602;46.4249
N;NORTE;2026-01-05;15302.396;8458.175;55.2735
SE;SUDESTE;2026-01-05;204615.328;87237.189;42.6347
S;SUL;2026-01-05;20459.242;14663.479;71.6717
NE;NORDESTE;2026-01-06;51691.226;24071.362;46.5676
N;NORTE;2026-01-06;15302.396;8454.764;55.2512
SE;SUDESTE;2026-01-06;204615.328;87552.826;42.789
S;SUL;2026-01-06;20459.242;14547.371;71.1042
NE;NORDESTE;2026-01-07;51691.226;24151.074;46.7218
N;NORTE;2026-01-07;15302.396;8432.913;55.1084
SE;SUDESTE;2026-01-07;204615.328;87723.997;42.8726
S;SUL;2026-01-07;20459.242;14456.088;70.658
NE;NORDESTE;2026-01-08;51691.226;24220.352;46.8558
N;NORTE;2026-01-08;15302.396;8445.649;55.1917
SE;SUDESTE;2026-01-08;204615.328;87806.835;42.9131
S;SUL;2026-01-08;20459.242;14324.526;70.0149
NE;NORDESTE;2026-01-09;51691.226;24262.425;46.9372
N;NORTE;2026-01-09;15302.396;8452.764;55.2382
SE;SUDESTE;2026-01-09;204615.328;87785.74;42.9028
S;SUL;2026-01-09;20459.242;14200.581;69.4091
NE;NORDESTE;2026-01-10;51691.226;24283.945;46.9789
N;NORTE;2026-01-10;15302.396;8497.395;55.5298
SE;SUDESTE;2026-01-10;204615.328;87882.01;42.9499
