nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
JAGUARI;120.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;450.347;;1213.775;;37.103;450.347;1213.775;0.15725049;0.16066069;0.00522148;0.00593198;0.0;0.0;0.0033835;0.00415579
JORDÃO;73.0;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2026-01-01;13.955;;20.306;;68.7235;13.955;20.306;0.00201046;0.0020179;0.00094756;0.00099251;0.0;0.0;0.00010485;6.952e-05
JURUMIRIM;47.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-01;2313.187;;4121.37;;56.1267;2313.187;4121.37;0.28270227;0.34076424;0.02681988;0.02014204;0.0;0.0;0.01737919;0.01411099
LAJES;124.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;434.383;;512.183;;84.8101;434.383;512.183;0.15167624;0.06779484;0.00503638;0.00250315;0.0;0.0;0.00326356;0.00175364
LUIZ GONZAGA;172.0;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2026-01-01;1169.965;;3418.033;;34.2292;1169.965;3418.033;0.04869125;0.06482484;0.04926856;0.06612405;0.0;0.0;0.00879006;0.01170286
M. MORAES;7.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-01;3178.314;;4339.622;;73.2394;3178.314;4339.622;0.18431165;0.08421309;0.03685045;0.02120868;0.0;0.0;0.02387898;0.01485825
MACHADINHO;91.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-01;670.119;;890.994;;75.2103;670.119;890.994;0.13230576;0.13238625;0.04550165;0.04354971;0.0;0.0;0.00503467;0.00305064
MANSO;278.0;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2026-01-01;312.987;;555.798;;56.3131;312.987;555.798;1.0;1.0;0.00362888;0.00271631;0.0;0.0;0.0023515;0.00190297
MARIMBONDO;17.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-01;1220.726;;5393.697;;22.6325;1220.726;5393.697;0.07079037;0.10466808;0.01415351;0.02636018;0.0;0.0;0.00917143;0.01846725
MIRANDA;26.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;188.944;;269.778;;70.0368;188.944;269.778;0.00686134;0.00343662;0.00219068;0.00131846;0.0;0.0;0.00141955;0.00092368
