nom_reservatorio;tip_reservatorio;cod_resplanejamento;cod_posto;nom_usina;ceg;id_subsistema;nom_subsistema;nom_bacia;nom_rio;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade65volutil;val_tipoperda;val_perda;val_latitude;val_longitude;id_reservatorio
FOZ DO RIO CLARO;FIO DAGUA;315;261;ENG. J.L.M. GODOY PEREIRA;UHE.PH.GO.029455-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CLARO;PARANA;2010-08-05;354.0;352.0;99.13;83.81;15.32;0.008978;0.2395;m;0.07;-19.11916667;-50.64305556;PNUFRC
FUNDÃO;FIO DAGUA;72;72;FUNDÃO;UHE.PH.PR.028360-6.01;S;SUL;IGUACU;JORDÃO;IGUACU;2006-06-23;705.5;705.0;34.59;33.45;1.15;0.008917;0.8307;m;3.58;-25.70083333;-52.00361111;IGFND
FUNIL;RESERVATÓRIO COM USINA;123;123;FUNIL (RJ);UHE.PH.RJ.027118-7.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;1969-04-01;466.5;444.0;888.0;283.0;605.7;0.008616;0.5575;m;1.04;-22.52861111;-44.56694444;PBFUNI
FUNIL-MG;FIO DAGUA;4;211;FUNIL (MG);UHE.PH.MG.001006-5.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;2003-01-23;808.0;807.8;304.0;304.0;6.81;0.00901;0.3549;m;0.39;-21.1425;-45.03472222;GRFUNI
FURNAS;RESERVATÓRIO COM USINA;6;6;FURNAS;UHE.PH.MG.001007-3.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1963-03-01;768.0;750.0;22950.0;5733.0;17217.0;0.008996;0.813;m;0.8;-20.66944444;-46.31388889;GRFURN
G. B. MUNHOZ;RESERVATÓRIO COM USINA;74;74;GOV. BENTO MUNHOZ;UHE.PH.PR.000984-9.01;S;SUL;IGUACU;IGUAÇU;IGUACU;1980-10-01;742.0;700.0;5779.0;1974.0;3804.69;0.008952;1.0938;m;2.31;-26.00944444;-51.66472222;IGGBMU
G. P. SOUZA;RESERVATÓRIO COM USINA;115;115;GOV. PARIGOT DE SOUZA;UHE.PH.PR.001042-1.01;S;SUL;CAPIVARI;CAPIVARI;SUL;1970-10-25;845.0;822.0;179.0;23.0;156.0;0.008756;6.3542;m;23.78;-25.13944444;-48.87388889;CASPSO
GARIBALDI;RESERVATÓRIO COM USINA;89;89;GARIBALDI;UHE.PH.SC.030415-8.01;S;SUL;URUGUAI;CANOAS;SUL;2013-09-24;705.0;702.5;296.0;232.0;64.23;0.008626;0.3691;m;1.19;-27.62472222;-50.98388889;RIGAR
GOV JAYME CANET JR;RESERVATÓRIO COM USINA;57;57;GOV. JAYME CANET;UHE.PH.PR.029598-1.01;S;SUL;PARANAPANEMA;TIBAGI;IGUACU;2012-11-23;635.0;626.0;2137.0;1473.0;667.0;0.009029;1.0494;m;2.91;-24.0625;-50.70805556;PPUHMU
GUAPORE;FIO DAGUA;196;296;GUAPORÉ;UHE.PH.MT.001066-9.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;GUAPORE;MADEIRA;2003-04-08;479.2;478.7;21.0;21.0;2.05;0.008922;1.5452;m;1.73;-15.12166667;-58.96416667;AMUGUA
